topic_id,cluster_id,topic_vocab_entropy,topic_noise_ratio,topic_snr,topic_vocab_size,topic_avg_overlap,topic_max_overlap,coherence,relevance,coverage,quality_score,verification_passed
2,0,4.906890595608519,0.5333333333333333,0.875,30,0.07229295632507052,0.1111111111111111,4,4,3,3.6666666666666665,True
2,1,4.906890595608519,0.5333333333333333,0.875,30,0.07229295632507052,0.1111111111111111,4,5,3,4.0,False
2,2,4.906890595608519,0.5333333333333333,0.875,30,0.07229295632507052,0.1111111111111111,4,5,4,4.333333333333333,False
2,3,4.906890595608519,0.5333333333333333,0.875,30,0.07229295632507052,0.1111111111111111,4,4,3,3.6666666666666665,True
2,4,4.906890595608519,0.5333333333333333,0.875,30,0.07229295632507052,0.1111111111111111,4,5,3,4.0,True
2,5,4.906890595608519,0.5333333333333333,0.875,30,0.07229295632507052,0.1111111111111111,4,4,3,3.6666666666666665,False
5,0,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.06634589159867875,0.09090909090909091,4,4,3,3.6666666666666665,True
5,1,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.06634589159867875,0.09090909090909091,4,3,4,3.6666666666666665,True
5,2,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.06634589159867875,0.09090909090909091,4,4,3,3.6666666666666665,True
5,3,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.06634589159867875,0.09090909090909091,4,4,4,4.0,True
4,0,4.906890595608519,0.5666666666666667,0.7647058823529411,30,0.08075024673724814,0.1111111111111111,4,4,3,3.6666666666666665,True
4,1,4.906890595608519,0.5666666666666667,0.7647058823529411,30,0.08075024673724814,0.1111111111111111,4,3,4,3.6666666666666665,True
4,2,4.906890595608519,0.5666666666666667,0.7647058823529411,30,0.08075024673724814,0.1111111111111111,4,3,4,3.6666666666666665,True
3,0,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,4,3,3.6666666666666665,True
3,1,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,4,4,4.0,True
3,2,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,4,3,3.6666666666666665,True
3,3,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,3,4,3.6666666666666665,True
3,4,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,4,4,4.0,True
3,5,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,3,4,3.6666666666666665,True
3,6,4.906890595608519,0.6,0.6666666666666666,30,0.054694167251096326,0.1320754716981132,4,5,4,4.333333333333333,True
6,0,4.906890595608519,0.36666666666666664,1.7272727272727273,30,0.08725747287944327,0.15384615384615385,4,4,3,3.6666666666666665,True
6,1,4.906890595608519,0.36666666666666664,1.7272727272727273,30,0.08725747287944327,0.15384615384615385,4,5,3,4.0,True
6,2,4.906890595608519,0.36666666666666664,1.7272727272727273,30,0.08725747287944327,0.15384615384615385,4,4,3,3.6666666666666665,True
6,3,4.906890595608519,0.36666666666666664,1.7272727272727273,30,0.08725747287944327,0.15384615384615385,4,5,4,4.333333333333333,True
1,0,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,4,3,3.6666666666666665,True
1,1,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,5,3,4.0,True
1,2,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,4,3,3.6666666666666665,True
1,3,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,5,4,4.333333333333333,True
1,4,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,4,3,3.6666666666666665,True
1,5,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,4,3,3.6666666666666665,True
1,6,4.906890595608519,0.8,0.25,30,0.024806317371453175,0.05263157894736842,4,4,3,3.6666666666666665,True
0,0,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,5,4,4.333333333333333,True
0,1,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,5,3,4.0,True
0,2,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,4,3,3.6666666666666665,True
0,3,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,5,4,4.333333333333333,True
0,4,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,5,3,4.0,True
0,5,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,4,3,3.6666666666666665,True
0,6,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,4,3,3.6666666666666665,False
0,7,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,5,3,4.0,True
0,8,4.906890595608519,0.43333333333333335,1.3076923076923077,30,0.08100583483005054,0.15384615384615385,4,4,3,3.6666666666666665,True
7,0,4.906890595608519,0.6666666666666666,0.5,30,0.0461182121052135,0.09090909090909091,4,4,3,3.6666666666666665,True
7,1,4.906890595608519,0.6666666666666666,0.5,30,0.0461182121052135,0.09090909090909091,4,5,3,4.0,True
7,2,4.906890595608519,0.6666666666666666,0.5,30,0.0461182121052135,0.09090909090909091,4,3,4,3.6666666666666665,True
7,3,4.906890595608519,0.6666666666666666,0.5,30,0.0461182121052135,0.09090909090909091,4,4,4,4.0,True
